CreateDynamicObject(11111, 836.7105, -2097.7875, 8.6295, 6.2999, 0.0000, 0.0000);
CreateDynamicObject(2372, 848.2210, -2156.5800, 5.2741, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2394, 848.0239, -2155.9819, 5.9910, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2846, 848.7726, -2155.7622, 5.2685, 0.0000, 0.0000, 30.8999);
CreateDynamicObject(2843, 848.6964, -2156.9321, 5.2726, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2390, 849.0451, -2154.6140, 6.2571, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1828, 845.7673, -2162.9299, 5.2512, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19384, 842.6041, -2155.2700, 7.0248, 0.0000, 0.0000, 45.0000);
CreateDynamicObject(19354, 839.9230, -2154.1638, 7.0272, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19354, 836.7125, -2154.1638, 7.0272, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2108, 843.7730, -2155.9399, 5.2738, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19446, 835.1882, -2160.6811, 7.0200, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19427, 835.1870, -2155.0600, 7.0229, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19384, 842.0765, -2160.5900, 7.0248, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19384, 840.3854, -2155.8688, 7.0248, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19354, 840.3832, -2159.0771, 7.0272, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19354, 838.6933, -2160.5981, 7.0272, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19427, 836.2877, -2160.6005, 7.0229, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19425, 835.2600, -2165.8151, 6.9102, 0.0000, 90.0000, 180.0000);
CreateDynamicObject(19425, 835.2600, -2165.2846, 6.9102, 0.0000, 90.0000, 180.0000);
CreateDynamicObject(2667, 835.2427, -2165.5351, 8.0676, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(2667, 835.1326, -2165.5551, 8.0676, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2667, 835.1326, -2165.5551, 6.7776, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2667, 835.1426, -2165.5551, 5.8976, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19425, 835.5396, -2160.6713, 6.9102, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19425, 835.5396, -2160.5212, 7.0802, 0.0000, 90.0000, 270.0000);
CreateDynamicObject(2184, 837.8437, -2164.4677, 5.2664, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(1714, 835.6015, -2163.4172, 5.2675, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(1708, 839.5249, -2161.7241, 5.2606, 0.0000, 0.0000, -70.7000);
CreateDynamicObject(1708, 839.8546, -2164.2827, 5.2606, 0.0000, 0.0000, -110.1999);
CreateDynamicObject(19893, 837.0844, -2163.8657, 6.0460, 0.0000, 0.0000, -110.1999);
CreateDynamicObject(2200, 843.5201, -2164.3144, 5.2629, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(19807, 837.1077, -2163.0632, 6.1167, 0.0000, 0.0000, -69.4999);
CreateDynamicObject(2164, 843.6504, -2162.5515, 5.2511, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(1808, 843.4899, -2161.3671, 5.2594, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(19786, 837.8370, -2160.6813, 7.8586, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19175, 835.2747, -2163.4167, 7.6836, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19825, 843.6535, -2163.4196, 8.1550, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(19814, 840.9398, -2160.6689, 5.6067, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2528, 839.7910, -2158.5891, 5.2734, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(11707, 840.2276, -2159.6948, 6.2280, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(19873, 840.2111, -2159.3266, 6.2355, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(2336, 837.5438, -2159.9912, 5.2716, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(19172, 837.0383, -2160.5207, 7.2960, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(2526, 835.7455, -2154.7124, 5.2738, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(2517, 836.7832, -2157.0556, 5.2555, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2841, 836.5549, -2159.5979, 5.2646, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19446, 827.6395, -2159.6198, 7.0200, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19384, 833.5159, -2159.6291, 7.0248, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2627, 831.4775, -2160.9123, 5.2659, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2627, 830.2372, -2160.9123, 5.2659, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2628, 828.1748, -2160.6284, 5.2584, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2629, 826.4373, -2160.6633, 5.2661, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2630, 834.1210, -2165.2841, 5.2534, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2630, 832.7712, -2165.2841, 5.2534, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1985, 830.0151, -2165.1757, 8.7359, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2295, 824.3726, -2160.3266, 5.2597, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2295, 823.3118, -2161.6379, 5.2597, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(11729, 823.0714, -2163.2382, 5.2680, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(11730, 823.0731, -2163.8977, 5.2679, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(11729, 823.0714, -2164.5695, 5.2680, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(11729, 823.0714, -2165.2302, 5.2680, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(3071, 825.5098, -2165.3764, 5.4585, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(3071, 826.2305, -2165.3764, 5.4585, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(2913, 825.9995, -2160.1274, 6.2570, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(1491, 832.7290, -2159.6242, 5.2729, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1502, 841.2855, -2160.6145, 5.2639, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1502, 840.3551, -2155.0808, 5.2639, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(1502, 845.4183, -2154.8125, 5.2639, 0.0000, 0.0000, 225.0000);
CreateDynamicObject(1502, 843.1623, -2155.7814, 5.2639, 0.0000, 0.0000, 135.0000);
CreateDynamicObject(19384, 832.3663, -2156.3186, 7.0248, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19427, 832.3666, -2158.7194, 7.0229, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19446, 827.6395, -2154.6267, 7.0200, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(1745, 826.3180, -2157.6625, 5.2680, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2339, 823.3112, -2158.7634, 5.2716, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2339, 823.3112, -2155.4611, 5.2716, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2131, 827.0491, -2155.2194, 5.2678, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2131, 829.0491, -2155.2194, 5.2678, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2847, 829.0503, -2156.4313, 5.2611, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2847, 827.0504, -2156.4313, 5.2611, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19786, 832.2755, -2158.3476, 7.7743, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(2238, 823.0856, -2155.6831, 6.7341, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2894, 823.1571, -2158.7260, 6.3177, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(1516, 831.6779, -2158.9616, 5.4520, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1670, 831.6300, -2158.9213, 5.9976, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1502, 832.3543, -2155.5312, 5.2639, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(1753, 824.1958, -2147.4746, 5.2648, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1753, 823.3051, -2150.3974, 5.2648, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(1753, 826.2457, -2151.2783, 5.2648, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(1827, 825.2050, -2149.4052, 5.2790, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2779, 823.3222, -2154.0097, 5.2594, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2779, 823.3222, -2153.2290, 5.2594, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2779, 823.3222, -2152.4482, 5.2594, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19786, 822.8171, -2149.3874, 7.7615, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19175, 825.2458, -2146.9990, 7.5719, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(3935, 827.9545, -2128.6682, 7.7833, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(3935, 845.6761, -2128.6682, 7.7833, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1753, 827.0751, -2147.4746, 5.2648, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(956, 830.4660, -2147.5668, 5.6717, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2230, 828.3847, -2154.4936, 5.2667, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(2230, 830.4353, -2154.4936, 5.2667, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(2099, 829.8363, -2154.4575, 5.2743, 0.0000, 0.0000, 180.0000);
